instance,instances-solved,optimal,CBS-H,ratioCBS,CBS-PC-H,ratioCBS-PC,CBS-BP-H,ratioCBS-BP,CBS-BP-PC-H,ratioCBS-BP-PC
1,50,6.839999999999999,6.839999999999999,100.0,6.839999999999999,100.0,6.839999999999999,100.0,6.839999999999999,100.0
2,38,15.184210526315793,15.184210526315793,100.0,15.184210526315793,100.0,15.184210526315793,100.0,15.184210526315793,100.0
3,31,22.677419354838708,22.806451612903228,100.56899004267427,22.741935483870968,100.28449502133714,22.67741935483871,100.00000000000003,22.741935483870968,100.28449502133714
4,24,30.41666666666667,31.166666666666675,102.46575342465754,30.666666666666675,100.82191780821918,30.91666666666668,101.64383561643837,30.583333333333343,100.54794520547946
5,25,38.0,39.4,103.68421052631578,38.480000000000004,101.26315789473685,38.4,101.05263157894737,38.400000000000006,101.0526315789474
6,9,46.55555555555556,47.44444444444444,101.90930787589498,47.22222222222223,101.43198090692125,46.777777777777786,100.47732696897376,47.22222222222223,101.43198090692125
7,2,57.0,62.0,108.77192982456141,60.0,105.26315789473684,60.0,105.26315789473684,60.0,105.26315789473684
8,0,0.0,0.0,,0.0,,0.0,,0.0,
9,0,0.0,0.0,,0.0,,0.0,,0.0,
10,0,0.0,0.0,,0.0,,0.0,,0.0,
11,0,0.0,0.0,,0.0,,0.0,,0.0,
12,0,0.0,0.0,,0.0,,0.0,,0.0,
